ENTITY,GROUPS,FAMILY,FAMILY_CS,CROSS_SECTION_MM,FIXATION,SPOOL_TYPE,RM,LME_PROJECTS,LME_SALES,BASIC_LME,UNIT_PRICE,MONTH,MONTH_NAME,QTY_KM,RC_KG,CC_KG,ES_MM,AV_INDEX,TOTAL_AMOUNT,ADDED_VALUE
COFICAB Kenitra,FICOSA,IRT2      ,IRT20075,75,M-1,PRODUCED,PVC,LME Forward 3M (M-1) + 377€,10.432999999999998,10.056,93.76759999999999,1,Jan,69.778,441.6580089343758,502.40160000000003,52.3335,1301.3597,6542.915592799999,167.85
COFICAB Kenitra,FICOSA,YBF       ,YBF0035,35,M-1,PRODUCED,PVC,LME Cash M-1 + 315$ + 1% + 198€,10.65148,10.08095,44.124736,1,Jan,238.591,718.9936295954578,763.4912,83.50685,2395.4536399999997,10527.764886976,180.71999999999997
COFICAB Kenitra,FICOSA,YBF       ,YBF0050,50,M-1,PRODUCED,PVC,LME Cash M-1 + 315$ + 1% + 198€,10.65148,10.08095,61.026807999999996,1,Jan,185.987,784.8273151449921,855.5401999999999,92.9935,2237.42361,11350.192939495999,240.6
COFICAB Kenitra,FUJIKURA,FLRY      ,LRY1600,1600,3M-1,PRODUCED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,1574.4858,1,Jan,2.0,265.957684452688,293.0,32.0,359.26,3148.9716,359.26
COFICAB Kenitra,FUJIKURA,FLRY      ,LRY2500,2500,3M-1,PRODUCED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,2576.1079999999997,1,Jan,9.205,1923.673335716679,2209.2,230.125,2678.8390999999997,23713.074139999997,2328.16
COFICAB Kenitra,FUJIKURA,FLRY      ,LRY3500,3500,3M-1,PRODUCED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,3566.2931999999996,1,Jan,34.156,10088.72826327402,11476.416000000001,1195.46,12541.058520000002,121810.3105392,16155.480000000001
COFICAB Kenitra,FUJIKURA,FLRY-A    ,YA0035,35,3M-1,PRODUCED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,36.84784,1,Jan,35162.356,105961.7083861823,112519.53920000001,12306.8246,224335.83127999998,1295656.8679110399,16581.62
COFICAB Kenitra,FUJIKURA,FLRY-A    ,YA0035,35,3M-1,PURCHASED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,36.84784,1,Jan,14.015,42.2341820051064,44.848000000000006,4.9052500000000006,89.4157,516.4224776,6.38
COFICAB Kenitra,FUJIKURA,FLRY-A    ,YA0050,50,3M-1,PRODUCED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,50.24146,1,Jan,11688.344,49418.26251043304,53181.9652,5844.172,80883.34048,587239.4675422399,8276.32
COFICAB Kenitra,FUJIKURA,FLRY-B    ,YB0075,75,3M-1,PRODUCED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,73.08416,1,Jan,2002.203,12631.37158931149,13614.9804,1501.65225,16698.37302,146329.32440448,2201.7599999999998
COFICAB Kenitra,FUJIKURA,FLRY-B    ,YB0075,75,3M-1,PURCHASED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,73.08416,1,Jan,23.048000000000002,145.4037639492355,156.7264,17.286,192.22032000000002,1684.44371968,25.02
COFICAB Kenitra,FUJIKURA,FLRY-B    ,YB0100,100,3M-1,PRODUCED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,97.04898,1,Jan,3112.649,26086.122991286735,28480.73835,3112.649,30908.60457,302079.41054802,5421.78
COFICAB Kenitra,FUJIKURA,FLRY-B    ,YB0150,150,3M-1,PRODUCED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,142.46043999999998,1,Jan,1921.301,23472.958135135177,26321.823699999997,2881.9515,23094.03802,273709.38583243993,5396.98
COFICAB Kenitra,FUJIKURA,FLRY-B    ,YB0250,250,3M-1,PRODUCED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,234.61547999999993,1,Jan,2686.442,54676.126226260974,61519.521799999995,6716.105,44541.20836,630280.8793221598,15502.3
COFICAB Kenitra,FUJIKURA,FLRY-B    ,YB0250,250,3M-1,PURCHASED,PVC,LME Cash 3M-1 + $315 + 1% + 150€,9.521199999999999,9.00780333333333,234.61547999999993,1,Jan,3.0,61.057852236818405,68.69999999999999,7.5,49.739999999999995,703.8464399999998,16.58
